24, 16, 8, 22, 17, 31, 30, 4, 7, 29, 20, 1, 14, 23, 21, 32, 10, 35, 11, 37, 18, 27, 2, 25, 15, 34, 6, 33, 3, 9, 13, 19, 26, 5, 12, 28, 36
21, 27, 2, 26, 23, 34, 11, 18, 22, 13, 9, 1, 10, 7, 16, 32, 20, 33, 19, 36, 28, 15, 37, 8, 29, 3, 14, 25, 6, 17, 35, 12, 31, 4, 5, 24, 30
36, 27, 8, 23, 21, 11, 6, 20, 4, 19, 9, 2, 10, 7, 17, 37, 16, 15, 3, 33, 32, 31, 13, 30, 34, 28, 25, 5, 29, 24, 35, 26, 22, 18, 14, 12, 1
19, 2, 10, 31, 6, 4, 5, 26, 28, 23, 14, 37, 7, 11, 16, 1, 8, 27, 3, 36, 30, 13, 18, 29, 34, 25, 15, 32, 22, 9, 20, 24, 21, 12, 17, 35, 33
35, 2, 26, 32, 19, 1, 28, 37, 36, 17, 29, 9, 21, 6, 20, 18, 24, 4, 31, 22, 5, 14, 27, 3, 11, 12, 15, 7, 25, 13, 8, 23, 16, 34, 10, 30, 33
10, 14, 31, 25, 19, 15, 24, 23, 29, 13, 2, 37, 34, 21, 11, 30, 26, 27, 4, 28, 1, 17, 12, 36, 35, 8, 3, 22, 18, 6, 16, 7, 33, 20, 9, 5, 32
13, 37, 9, 2, 29, 30, 32, 26, 35, 8, 5, 31, 12, 7, 14, 25, 19, 4, 3, 11, 24, 6, 23, 36, 28, 10, 16, 22, 34, 18, 20, 15, 1, 33, 27, 21, 17
21, 32, 14, 2, 33, 9, 12, 37, 23, 6, 26, 20, 36, 3, 34, 7, 18, 15, 13, 24, 22, 11, 30, 16, 8, 5, 29, 31, 28, 17, 27, 25, 10, 19, 35, 4, 1
11, 28, 19, 15, 33, 27, 12, 20, 26, 36, 6, 8, 21, 34, 9, 1, 17, 31, 24, 4, 35, 30, 18, 13, 16, 23, 5, 37, 2, 7, 29, 22, 25, 14, 10, 32, 3
16, 26, 6, 9, 31, 14, 12, 10, 33, 4, 24, 5, 3, 17, 35, 15, 7, 27, 32, 28, 29, 11, 18, 25, 20, 37, 30, 23, 36, 1, 34, 13, 19, 2, 22, 21, 8
6, 12, 1, 10, 19, 27, 20, 3, 8, 23, 29, 35, 21, 22, 34, 36, 5, 2, 9, 24, 25, 16, 13, 30, 28, 7, 31, 11, 37, 18, 14, 15, 33, 17, 26, 4, 32
8, 30, 27, 15, 28, 21, 18, 10, 4, 12, 31, 6, 32, 26, 3, 2, 34, 35, 29, 23, 37, 13, 25, 7, 22, 36, 24, 9, 16, 14, 11, 17, 20, 33, 5, 1, 19
37, 30, 2, 25, 17, 34, 13, 6, 19, 10, 36, 29, 26, 16, 9, 32, 33, 28, 8, 12, 27, 1, 23, 35, 3, 21, 22, 18, 31, 7, 20, 4, 5, 11, 15, 24, 14
9, 8, 20, 11, 14, 24, 37, 12, 10, 17, 7, 36, 23, 3, 13, 32, 15, 35, 27, 34, 5, 33, 30, 19, 25, 22, 21, 4, 29, 1, 16, 31, 18, 28, 2, 6, 26
17, 29, 27, 4, 24, 3, 15, 28, 33, 7, 26, 10, 16, 9, 19, 14, 2, 1, 25, 12, 6, 11, 21, 37, 36, 22, 13, 32, 30, 20, 5, 8, 31, 23, 35, 34, 18
12, 34, 13, 11, 22, 37, 36, 27, 6, 17, 10, 3, 9, 18, 19, 30, 20, 1, 4, 21, 31, 8, 25, 33, 7, 26, 23, 24, 2, 15, 16, 5, 29, 28, 35, 14, 32
34, 10, 19, 13, 9, 24, 2, 23, 12, 11, 27, 15, 22, 21, 8, 20, 3, 31, 4, 7, 35, 17, 25, 5, 32, 36, 33, 26, 18, 30, 29, 28, 37, 16, 1, 6, 14
22, 21, 33, 10, 7, 30, 17, 25, 13, 31, 18, 29, 34, 23, 19, 12, 27, 36, 37, 8, 28, 1, 6, 3, 2, 32, 5, 4, 15, 16, 24, 35, 26, 14, 11, 9, 20
13, 19, 7, 33, 29, 15, 3, 32, 23, 10, 18, 16, 20, 12, 21, 22, 36, 24, 25, 4, 17, 1, 35, 27, 30, 26, 9, 2, 37, 14, 5, 11, 8, 28, 31, 34, 6
16, 27, 12, 33, 34, 31, 37, 20, 2, 4, 23, 6, 17, 22, 11, 26, 14, 35, 5, 8, 24, 28, 30, 36, 10, 19, 13, 15, 9, 25, 3, 21, 18, 29, 7, 32, 1
15, 24, 12, 18, 3, 4, 37, 9, 32, 16, 31, 8, 6, 27, 34, 23, 2, 11, 33, 20, 22, 17, 7, 26, 28, 30, 25, 10, 29, 13, 5, 21, 36, 14, 1, 19, 35
19, 20, 7, 24, 3, 11, 12, 23, 22, 13, 9, 16, 18, 15, 33, 6, 14, 1, 8, 10, 35, 2, 21, 34, 27, 5, 17, 30, 36, 26, 32, 25, 31, 28, 4, 29, 37
6, 35, 30, 10, 8, 1, 32, 37, 21, 28, 34, 36, 29, 33, 25, 27, 9, 20, 3, 5, 22, 2, 31, 7, 11, 26, 12, 13, 16, 15, 14, 4, 24, 19, 18, 23, 17
18, 24, 37, 23, 20, 25, 16, 32, 9, 36, 30, 6, 31, 35, 29, 1, 17, 27, 4, 28, 19, 13, 15, 5, 26, 34, 8, 12, 7, 2, 14, 33, 21, 3, 22, 10, 11
31, 12, 10, 5, 27, 16, 30, 36, 9, 6, 15, 7, 34, 18, 1, 21, 11, 29, 8, 20, 13, 23, 25, 24, 3, 22, 28, 2, 4, 37, 14, 32, 17, 33, 35, 19, 26
7, 6, 12, 20, 36, 23, 33, 31, 8, 19, 26, 34, 4, 3, 11, 17, 29, 13, 37, 28, 21, 25, 27, 15, 5, 1, 9, 18, 35, 22, 10, 30, 2, 24, 14, 32, 16
18, 37, 11, 20, 13, 30, 24, 9, 34, 2, 7, 3, 23, 12, 21, 35, 36, 17, 1, 28, 29, 27, 15, 33, 16, 5, 6, 25, 26, 31, 32, 8, 14, 10, 22, 19, 4
32, 13, 35, 29, 36, 6, 20, 11, 8, 9, 25, 30, 21, 18, 26, 31, 19, 24, 16, 2, 4, 12, 27, 10, 1, 7, 37, 14, 34, 15, 3, 33, 23, 17, 22, 5, 28
8, 24, 28, 22, 37, 5, 35, 34, 17, 9, 21, 7, 14, 30, 26, 11, 1, 10, 25, 6, 13, 15, 23, 32, 27, 31, 29, 36, 33, 18, 19, 20, 12, 2, 4, 16, 3
6, 32, 26, 20, 34, 12, 35, 10, 13, 21, 28, 19, 22, 24, 9, 29, 5, 1, 14, 7, 33, 3, 15, 37, 27, 25, 4, 8, 17, 16, 36, 2, 23, 11, 30, 18, 31
9, 30, 34, 36, 14, 3, 11, 5, 35, 25, 37, 1, 15, 20, 32, 29, 27, 28, 13, 7, 33, 18, 8, 12, 22, 31, 4, 17, 16, 24, 2, 19, 21, 23, 6, 10, 26
1, 10, 8, 9, 26, 5, 12, 29, 19, 33, 23, 2, 30, 34, 20, 18, 7, 3, 17, 35, 31, 32, 21, 4, 25, 28, 24, 11, 16, 13, 15, 27, 36, 22, 6, 37, 14
9, 7, 25, 5, 2, 15, 21, 34, 10, 12, 14, 36, 31, 23, 16, 32, 13, 6, 27, 33, 8, 26, 18, 37, 22, 35, 3, 1, 20, 24, 17, 11, 30, 4, 28, 19, 29
20, 34, 21, 5, 2, 7, 8, 25, 4, 3, 37, 12, 1, 17, 11, 26, 30, 35, 6, 32, 14, 33, 13, 10, 19, 23, 36, 24, 9, 29, 18, 22, 28, 15, 16, 31, 27
14, 23, 5, 9, 20, 36, 25, 11, 10, 24, 16, 35, 1, 4, 21, 31, 18, 13, 17, 12, 8, 28, 34, 37, 32, 3, 2, 15, 27, 7, 26, 19, 30, 6, 33, 22, 29
